date,close,volume,total_bids,cover_ratio
2018-06-28,15.22,4213000,9422000,2.236
2018-06-29,14.85,4360000,11649500,2.672
2018-07-02,14.95,4213000,14845000,3.524
2018-07-03,15.15,4213000,15773000,3.744
2018-07-04,15.35,3547000,16626000,4.687
2018-07-05,15.4,4213000,13926000,3.305
2018-07-06,15.55,4360000,11301000,2.592
2018-07-09,15.85,4213000,14212000,3.373
2018-07-10,16.15,4213000,14127000,3.353
2018-07-12,16.22,4213000,12078000,2.867
2018-07-13,15.8,4360000,11205000,2.57
2018-07-16,16.14,4213000,15341500,3.641
2018-07-17,15.87,4213000,14655500,3.479
2018-07-18,16.17,3547000,13980500,3.941
2018-07-19,16.46,4213000,9157500,2.174
2018-07-20,16.9,4360000,12549500,2.878
2018-07-23,17.2,4213000,12737500,3.023
2018-07-24,17.45,4213000,14353000,3.407
2018-07-26,16.99,4213000,11919000,2.829
2018-07-27,16.91,4360000,12707500,2.915
2018-07-30,16.9,4213000,12675500,3.009
2018-07-31,16.87,4213000,11564000,2.745
2018-08-01,17.38,1773500,11632000,6.559
2018-08-02,17.58,2104000,11568000,5.498
2018-08-03,17.62,2180000,8981000,4.12
2018-08-06,17.62,2104000,9894000,4.702
2018-08-07,17.47,2104000,11007000,5.231
2018-08-09,17.47,2104000,10517000,4.999
2018-08-10,17.72,2180000,10394000,4.768
2018-08-13,17.93,2104000,9144000,4.346
2018-08-14,18.03,2104000,10427000,4.956
2018-08-16,18.0,2104000,6732000,3.2
2018-08-17,18.1,2180000,6075000,2.787
2018-08-20,18.2,2104000,8032500,3.818
2018-08-21,18.55,2104000,6498500,3.089
2018-08-23,20.05,2104000,6954000,3.305
2018-08-24,20.55,2180000,7013000,3.217
2018-08-28,21.3,2104000,4663500,2.216
2018-08-29,20.9,1773500,6344500,3.577
2018-08-30,21.09,2104000,5506000,2.617
2018-08-31,21.11,2180000,5771000,2.647
2018-09-03,20.45,4213000,7207000,1.711
2018-09-04,20.5,4213000,9008000,2.138
2018-09-07,22.51,4360000,17537000,4.022
2018-09-10,24.85,4213000,17032000,4.043
2018-09-11,24.15,4213000,10756000,2.553
2018-09-12,23.55,3547000,12831000,3.617
2018-09-13,21.9,4213000,13508000,3.206
2018-09-14,19.51,4360000,15881000,3.642
2018-09-17,20.6,4213000,14636500,3.474
2018-09-18,20.75,4213000,15323500,3.637
2018-09-20,21.8,4213000,7281000,1.728
2018-09-24,22.39,4213000,7629500,1.811
2018-09-25,21.9,4213000,7843500,1.862
2018-09-26,20.4,3547000,6582000,1.856
2018-09-27,19.87,4213000,8360000,1.984
2018-09-28,20.3,5450000,10844500,1.99
2018-10-01,20.7,4213000,11345500,2.693
2018-10-02,21.45,4213000,11380500,2.701
2018-10-04,21.15,4213000,10673500,2.533
2018-10-05,21.14,5450000,16381500,3.006
2018-10-08,22.09,4213000,7037000,1.67
2018-10-09,21.32,4213000,6980500,1.657
2018-10-10,20.7,3547000,7855500,2.215
2018-10-11,18.57,4213000,20896500,4.96
2018-10-12,19.95,5450000,22112000,4.057
2018-10-15,20.03,4213000,7241500,1.719
2018-10-16,17.9,4213000,6613500,1.57
2018-10-18,18.53,4213000,14589000,3.463
2018-10-19,19.17,5450000,10025000,1.839
2018-10-22,19.1,4213000,16320000,3.874
2018-10-23,18.5,4213000,17999500,4.272
2018-10-24,19.1,3547000,14635500,4.126
2018-10-25,18.72,4213000,18889000,4.484
2018-10-26,18.98,4360000,17296000,3.967
2018-10-29,17.91,4213000,7230000,1.716
2018-10-30,16.87,4213000,15192000,3.606
2018-11-01,15.85,4213000,7962000,1.89
2018-11-02,16.15,4360000,14662500,3.363
2018-11-05,16.4,4213000,5126000,1.217
2018-11-06,16.99,4213000,9206500,2.185
2018-11-07,18.25,3547000,7528500,2.122
2018-11-08,19.56,4213000,7625500,1.81
2018-11-09,19.25,4360000,8015000,1.838
2018-11-12,20.01,4213000,6121000,1.453
2018-11-13,19.76,4213000,6410500,1.522
2018-11-15,18.46,4213000,6411500,1.522
2018-11-19,18.43,4213000,6756000,1.604
2018-11-20,19.4,4213000,8191500,1.944
2018-11-21,19.84,3547000,8766500,2.472
2018-11-22,20.3,4213000,11880500,2.82
2018-11-26,19.71,4213000,8860500,2.103
2018-11-27,19.77,4213000,10697000,2.539
2018-11-29,19.35,4213000,13420000,3.185
2018-12-03,20.52,4213000,10568000,2.508
2018-12-04,20.35,4213000,10877000,2.582
2018-12-05,20.21,3543000,7442500,2.101
2018-12-06,18.55,4213000,13720500,3.257
2018-12-10,19.77,4213000,6981500,1.657
2018-12-11,20.77,4213000,10562000,2.507
2018-12-13,21.88,4213000,8969000,2.129
2018-12-17,23.4,4148000,7856000,1.894
2019-01-07,23.01,2495000,6006000,2.407
2019-01-08,22.4,2495000,4859500,1.948
2019-01-10,21.4,2495000,5808500,2.328
2019-01-14,21.95,2495000,5854000,2.346
2019-01-15,22.55,2495000,6176000,2.475
2019-01-16,22.72,4428500,10328000,2.332
2019-01-17,23.55,2495000,7229000,2.897
2019-01-21,24.22,2495000,4845000,1.942
2019-01-22,24.42,2495000,4668000,1.871
2019-01-24,24.6,2495000,6014000,2.41
2019-01-28,23.01,2495000,5533000,2.218
2019-01-29,22.43,2495000,5526000,2.215
2019-01-30,22.91,4428500,9436000,2.131
2019-01-31,22.3,2495000,5707000,2.287
2019-02-01,21.38,3209000,9213000,2.871
2019-02-04,21.38,2495000,6482000,2.598
2019-02-05,22.93,2495000,5152000,2.065
2019-02-07,23.8,2495000,6086000,2.439
2019-02-08,23.28,3209000,4977000,1.551
2019-02-11,21.8,2495000,4508000,1.807
2019-02-12,21.71,2495000,5631500,2.257
2019-02-13,20.01,4428500,6954500,1.57
2019-02-14,20.86,2495000,6360000,2.549
2019-02-15,19.99,3209000,5913500,1.843
2019-02-18,20.14,2495000,6886000,2.76
2019-02-19,20.26,2495000,7700500,3.086
2019-02-21,19.85,2495000,7611500,3.051
2019-02-22,18.35,3209000,6307000,1.965
2019-02-25,18.62,2495000,6033500,2.418
2019-02-26,19.6,2495000,7708500,3.09
2019-02-27,20.31,4428500,7262500,1.64
2019-02-28,20.9,2495000,5359500,2.148
2019-03-01,21.31,3209000,6078000,1.894
2019-03-04,22.12,2495000,4256500,1.706
2019-03-05,22.86,2495000,4394500,1.761
2019-03-07,22.03,2495000,3750500,1.503
2019-03-08,22.88,3209000,5869500,1.829
2019-03-11,22.6,2495000,4390500,1.76
2019-03-12,22.48,2495000,4066000,1.63
2019-03-13,21.99,4428500,9259000,2.091
2019-03-14,22.23,2495000,4243500,1.701
2019-03-15,22.77,3209000,4961500,1.546
2019-03-18,21.5,2495000,4667000,1.871
2019-03-19,21.35,2495000,4678000,1.875
2019-03-21,21.1,2495000,4971000,1.992
2019-03-22,20.64,3209000,5563500,1.734
2019-03-25,20.6,2495000,6735500,2.7
2019-03-26,21.17,2495000,5568500,2.232
2019-03-27,21.45,4428500,7093000,1.602
2019-03-28,21.55,2495000,4049500,1.623
2019-03-29,21.83,3209000,5887500,1.835
2019-04-01,21.06,2495000,4418500,1.771
2019-04-02,21.4,2495000,6655000,2.667
